"Nome Universo";"Data Atualização Dados";"UF";"Localidade";"UO (Cod)";"UO";"Funcional";"Ação + Subtítulo";"Esfera (Cod)";"GND (Cod)";"Mod. Aplic.(Cod)";"Emenda";"Autor";"Autor (UF)";"Partido";"PL";"Acréscimos Autógrafo";"Parecer Emendas";"Dotação Inicial";"Autorizado";"Empenhado";"Liquidado";"Pago";"RP Não-Proc Pago";"RP Proc Pago";"RP Não-Proc Inscrito";"RP Proc Inscrito";"UO (Cod/Desc)";"Autor (Tipo)"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"22101";"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO";"20.608.2014.20ZV.0012";"FOMENTO AO SETOR AGROPECUÁRIO - NO ESTADO DO ACRE";"F";"3";"40";"24240010";"FLAVIANO MELO";"AC";"PMDB";"0";"";"";"0";"0";"0";"0";"0";"780000";"0";"1365000";"0";"22101 - MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"22101";"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO";"20.608.2014.20ZV.0012";"FOMENTO AO SETOR AGROPECUÁRIO - NO ESTADO DO ACRE";"F";"3";"90";"24240010";"FLAVIANO MELO";"AC";"PMDB";"0";"";"";"0";"0";"0";"0";"0";"0";"0";"35000";"0";"22101 - MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"22101";"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO";"20.608.2014.20ZV.0012";"FOMENTO AO SETOR AGROPECUÁRIO - NO ESTADO DO ACRE";"F";"4";"40";"24240010";"FLAVIANO MELO";"AC";"PMDB";"0";"2000000";"16000000";"1990265.33";"1990265.33";"379652.32";"0";"0";"975000";"901875";"975000";"1023750";"22101 - MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"22101";"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO";"20.608.2014.20ZV.0012";"FOMENTO AO SETOR AGROPECUÁRIO - NO ESTADO DO ACRE";"F";"4";"90";"24240010";"FLAVIANO MELO";"AC";"PMDB";"0";"";"";"9734.67";"9734.67";"9734.67";"0";"0";"0";"0";"25000";"0";"22101 - MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"24101";"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO";"19.126.2025.20V8.0012";"APOIO A PROJETOS DE INCLUSÃO DIGITAL - NO ESTADO DO ACRE";"F";"3";"30";"29120004";"ANIBAL DINIZ";"AC";"PT";"0";"12300";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24101 - MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"24101";"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO";"19.126.2025.20V8.0012";"APOIO A PROJETOS DE INCLUSÃO DIGITAL - NO ESTADO DO ACRE";"F";"4";"30";"29120004";"ANIBAL DINIZ";"AC";"PT";"0";"250000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24101 - MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"24201";"CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO";"19.571.2021.00LV.0012";"FORMAÇÃO, CAPACITAÇÃO E FIXAÇÃO DE RECURSOS HUMANOS QUALIFICADOS PARA C,T&I - NO ESTADO DO ACRE";"F";"3";"90";"26870009";"SIBÁ MACHADO";"AC";"PT";"0";"402300";"4425300";"402300";"402300";"0";"0";"0";"202000";"0";"200000";"0";"24201 - CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26101";"MINISTÉRIO DA EDUCAÇÃO";"12.363.2031.6380.0012";"FOMENTO AO DESENVOLVIMENTO DA EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA - NO ESTADO DO ACRE";"F";"3";"90";"26870015";"SIBÁ MACHADO";"AC";"PT";"0";"400000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26101 - MINISTÉRIO DA EDUCAÇÃO";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12.364.2032.20RK.0012";"FUNCIONAMENTO DE INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR - NO ESTADO DO ACRE";"F";"3";"90";"11810012";"HENRIQUE AFONSO";"AC";"PV";"13922098";"300000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26275 - FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12.364.2032.20RK.0012";"FUNCIONAMENTO DE INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR - NO ESTADO DO ACRE";"F";"3";"90";"24010007";"GLADSON CAMELI";"AC";"PP";"13922098";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26275 - FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"DEPUTADO FEDERAL"
